2016-12-31 23:50:31+00:00,"b'Wishing u&amp;ur family a very blessed New year with good wishes4 a life filled with lots of luv, hapines, good health&amp;\xe2\x80\xa6 https://t.co/GSRKIJro8s'",,N
2016-12-31 23:08:19+00:00,b'@GauravPandhi @rahulkanwal bhai rahul aap shakal se aur akal se chusa hua bhakt lagte ho \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82',,S
2016-12-31 22:55:56+00:00,b'Bhakto Bhakto ..ha ji ..new year eve p bhauku..Ha ji ..jumla bolu ..Ha ji..Kucha acha bolu..Na ji ..Shameless Bhakt Shameless PM #ModiSpeech',,N
2016-12-31 22:55:07+00:00,b'@misrashashank now get lost bhakt',,S
2016-12-31 22:54:53+00:00,b'@misrashashank Mr bhakt 2019 will give befitting reply to Feku PM by kicking him out. Modi has to pay for killing hundreds standing in line',,S
2016-12-31 22:37:51+00:00,b'@ArvindKejriwal saal ka aakhri din bhi japta reh.asli bhakt of modi ji to aap khud ho. Har waqkt modi ji modi ji...kuch kam hai ki nai ?',,S
2016-12-31 22:35:31+00:00,b'@drAditya95 thanks for the respect... Same to you.. Trademark bhakt',,N
2016-12-31 22:28:02+00:00,b'@AsYouNotWish @Ankita_Shah8 I can understand u being a bhakt but why attack someone personally',,N
2016-12-31 22:14:26+00:00,"b""@chetan_bhagat be a desh bhakt,,, y don't u spent new year with jawans,,,,  u people use them as bait,,,""",,N
2016-12-31 22:13:11+00:00,b'@misrashashank @narulaAlka @rahulkanwal bhakt Is rattled \xf0\x9f\x98\x89\xf0\x9f\x98\x89',,S
2016-12-31 22:00:50+00:00,"b'RT @Sai_ki_bitiya: Rt if you are neither a bhakt, congi, aaptard. RT if you just care about people &amp; decisions. No matter who makes them.'",,S
2016-12-31 21:37:08+00:00,b'@AakalpJohari @niraj1712 @abhisar_sharma .... Wow another chutiya logic of Modi bhakt',,S
2016-12-31 21:17:19+00:00,b'@JackShuklaETF @digvijaya_28 \nBecharey is bhakt ko uthaya.Yeh duty pey hai. Idhar aap kuch likhain phir yeh apne sanghi bhasha mey uttar dey',,S
2016-12-31 21:06:29+00:00,b'@AbhayDubey_ @RoflRavish 125 crore Indian ke kale Lund pakede hain is bhadwe ne baki sab bhakt pakenge',,S
2016-12-31 21:01:35+00:00,"b'RT @Sai_ki_bitiya: Rt if you are neither a bhakt, congi, aaptard. RT if you just care about people &amp; decisions. No matter who makes them.'",,S
2016-12-31 20:58:36+00:00,b'Why demonetisation is greatst blunder by a gvt in 69 yrs of fre India https://t.co/BPeH346ciC\nBhakt,Busin Stndard is Anti-Nationl #happy2017',N
2016-12-31 20:57:41+00:00,"b'RT @Sai_ki_bitiya: Rt if you are neither a bhakt, congi, aaptard. RT if you just care about people &amp; decisions. No matter who makes them.'",,N
2016-12-31 20:56:55+00:00,"b'RT @Sai_ki_bitiya: Rt if you are neither a bhakt, congi, aaptard. RT if you just care about people &amp; decisions. No matter who makes them.'",,N
2016-12-31 20:56:45+00:00,b'Bhakt bhai logon ko Naya varsh mangalmay ho \xf0\x9f\x92\xaa\xf0\x9f\x92\xaa\xf0\x9f\x91\x8d\xf0\x9f\x91\x8d',,N
2016-12-31 20:54:27+00:00,"b'@Richasharma0971 @narulaAlka @rahulkanwal am shocked how ""liberal Nehruvians""  can\'t tolerate any diff of opinion, and troll me as Mr. Bhakt'",,S
2016-12-31 20:54:00+00:00,"b'RT @iSabinaAhmed: Hehehe I am not Bhakt sir.\nBut yes I have lots of respect for my PM.\nHe is just like angel sent to India, to end corrupti\xe2\x80\xa6'",,S
2016-12-31 20:53:12+00:00,"b'RT @Sai_ki_bitiya: Rt if you are neither a bhakt, congi, aaptard. RT if you just care about people &amp; decisions. No matter who makes them.'",,S
2016-12-31 20:52:11+00:00,"b'@Richasharma0971 @narulaAlka @rahulkanwal and so Ms. bhakt of INC and ""Liberal Nehruvian"" wud RaGa bn a better PM?'",,S
2016-12-31 20:51:33+00:00,"b'RT @Sai_ki_bitiya: Rt if you are neither a bhakt, congi, aaptard. RT if you just care about people &amp; decisions. No matter who makes them.'",,N
2016-12-31 20:41:46+00:00,"b""@subir_ray1 @INCIndia /one doesn't expect a bhakt any better than his master!\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82""",,S
2016-12-31 20:36:35+00:00,b'@Tolerant_Bhakt @sanjayuvacha @navinkhaitan @jamewils I like it - U r too much',,N
