2014-12-31 20:45:24+00:00,"b""Tulsi the poet got overshadowed by Tulsidas the bhakt... On beauty he says ( Ma Sita's beauty) 'Gira anayan, nayan binu bani'... \n\n2/2""",,,,N
2014-12-31 20:40:11+00:00,b'@MrsGandhi ji HAPPY NEW YEAR from an AAPian to Bhakt and SORRY for anything which u not like in any AAPian tweet.',,,,S
2014-12-31 20:04:26+00:00,b'@bhakt_jokes @abpnewstv Bhai case ho gya h high Court ne notice bhi bheji h farzi voter Ke bare main...\nCourt to h he :)',,,,
2014-12-31 20:02:35+00:00,b'@sonunigam Really feeling so proud...proud to be ur Bhakt :)\nGod bless u..may u win all d hearts of d world..Love u :)',,,,N
2014-12-31 20:00:13+00:00,"b'@OCEANGAURAV @AryavartaNation @PathakAjitesh @Swamy39, I m Indian first &amp; bhakt second, but now both are same.'",,,,N
2014-12-31 19:35:20+00:00,b'@DrKumarVishwas @aalav2010 kavi ji bhakt hone me sharam aati ho to nanaazi ban jao',,,,N
2014-12-31 19:31:36+00:00,b'He bhakt vatsal madhva\ntum hi to ho jag ke nayan\nmano kamna puran karo\nkarun bar bar tumhe naman\nmeri sadhna swikar lo\npurusottma-purusottma',,,,N
2014-12-31 19:31:30+00:00,b'Every #AAPian must catch hold of one #BHAKT on Twitter\n&amp, wish him an eye-opening &amp, Enlightened 2015\n\n&amp, tweet his reaction\n#HappyNewYear', 
2014-12-31 19:20:03+00:00,b'@lovenkush25 @Iam_Prerna She is an AAPian not bhakt. Rationality precedes devotion.',,,,S
2014-12-31 19:04:56+00:00,b'Just saw a bhakt fully drunk ...\nChanting har har modi insted of #HappyNewYear ...\nGod save this country in 2015',,,,S
2014-12-31 18:56:00+00:00,"b""@AmitShahOffice  happy new year my taau g.i m modi g's biggest fan.may u b happy always.jai mata di by vaishno devi's biggest bhakt pankaj""",,,,S
2014-12-31 18:51:25+00:00,b'@Banarasi8 hum to prabhu bhakt insan h',,,,N
2014-12-31 18:43:08+00:00,"b""Bhakt or Nationalist. You decide for yourself.However, you'll have to agree on awesomeness factor. @BolshoyBooze #BestTweeps2014""",,,,S
2014-12-31 18:41:29+00:00,"b""@Shiamakofficial happy new year my papa.may u b happy always.jai mata di by vaishno devi's biggest bhakt pankaj shiamak kandwal.jmd""",,,,N
2014-12-31 18:40:44+00:00,"b""@narendramodi happy new year my taau g.may u b happy always.i m ur biggest fan.jai mata di by vaishno devi's biggest bhakt pankaj.jmd""",,,,N
2014-12-31 18:39:47+00:00,"b""@BeingSalmanKhan  happy new year my bhaiya.i m ur biggest fan.may u b happy always.jai mata di by vaishno devi's biggest bhakt pankaj.jmd""",,,,N
2014-12-31 18:38:20+00:00,b'RT @bharti_kamlesh: @bhakt_jokes @AmitSwami77 @thekinshu @abpnewstv @EeshHindu @Nisha_Hindu @Liladhariprasad @TrustRSS \xe0\xa4\xb8\xe0\xa4\x9a\xe0\xa5\x8d\xe0\xa4\x9a\xe0\xa5\x87 \xe0\xa4\xa6\xe0\xa5\x87\xe0\xa4\xb6 \xe0\xa4\xa6\xe0\xa5\x8d\xe0\xa4\xb0\xe0\xa5\x8b\xe0\xa4\xb9\xe0\xa5\x80 \xe0\xa4\x95\xe0\xa4\xb9\xe0\xa5\x80\xe2\x80\xa6',,,,
2014-12-31 18:37:48+00:00,b'@bhakt_jokes @bharti_kamlesh @thekinshu @abpnewstv @EeshHindu @Nisha_Hindu @Liladhariprasad @TrustRSS Ye dosti ham na todenge..Well said.',,,,
